"x","y","year","env1","env2"
21,585,0,-1.42105614889984,-1.12576958796846
22,585,0,-1.42191156270746,-1.12486254664406
23,585,0,-1.42276697651507,-1.12395550531965
24,585,0,-1.42362239032269,-1.12304846399525
25,585,0,-1.42447780413031,-1.12214142267084
26,585,0,-1.42533321793793,-1.12123438134644
0,584,0,-1.38373121789125,-1.15123099373586
1,584,0,-1.38237738125699,-1.15154502575639
2,584,0,-1.38102354462272,-1.15185905777691
3,584,0,-1.37966970798845,-1.15217308979744
4,584,0,-1.37831587135418,-1.15248712181797
5,584,0,-1.37696203471991,-1.15280115383849
6,584,0,-1.37560819808565,-1.15311518585902
7,584,0,-1.37746441137825,-1.15177915485481
8,584,0,-1.3813474480035,-1.1494012751831
9,584,0,-1.38523048462875,-1.1470233955114
10,584,0,-1.389113521254,-1.14464551583969
11,584,0,-1.39299655787925,-1.14226763616798
12,584,0,-1.3968795945045,-1.13988975649628
13,584,0,-1.40076263112976,-1.13751187682457
14,584,0,-1.40464566775501,-1.13513399715286
15,584,0,-1.40852870438026,-1.13275611748116
16,584,0,-1.41241174100552,-1.13037823780945
17,584,0,-1.41431596800421,-1.12893549642068
18,584,0,-1.41473427568628,-1.12819496509786
19,584,0,-1.41515258336835,-1.12745443377504
20,584,0,-1.41557089105042,-1.12671390245222
21,584,0,-1.41598919873249,-1.12597337112939
22,584,0,-1.41640750641456,-1.12523283980657
23,584,0,-1.41682581409662,-1.12449230848375
24,584,0,-1.41724412177869,-1.12375177716093
25,584,0,-1.41766242946076,-1.1230112458381
26,584,0,-1.41808073714283,-1.12227071451528
0,583,0,-1.3759982192877,-1.15254855927836
1,583,0,-1.37457254583403,-1.15291809463275
2,583,0,-1.37314687238036,-1.15328762998714
3,583,0,-1.3717211989267,-1.15365716534152
4,583,0,-1.37029552547303,-1.15402670069591
5,583,0,-1.36886985201936,-1.1543962360503
6,583,0,-1.3674441785657,-1.15476577140468
7,583,0,-1.36958530176825,-1.15331513414415
8,583,0,-1.37397849794484,-1.150715241137
9,583,0,-1.37837169412144,-1.14811534812985
10,583,0,-1.38276489029804,-1.1455154551227
11,583,0,-1.38715808647464,-1.14291556211556
12,583,0,-1.39155128265123,-1.14031566910841
13,583,0,-1.39594447882783,-1.13771577610126
14,583,0,-1.40033767500443,-1.13511588309411
15,583,0,-1.40473087118102,-1.13251599008696
16,583,0,-1.40912406735763,-1.12991609707981
17,583,0,-1.41099744233906,-1.12847323957529
18,583,0,-1.41097864389558,-1.12789921825405
19,583,0,-1.4109598454521,-1.12732519693281
20,583,0,-1.41094104700862,-1.12675117561157
21,583,0,-1.41092224856513,-1.12617715429033
22,583,0,-1.41090345012165,-1.12560313296908
23,583,0,-1.41088465167817,-1.12502911164784
24,583,0,-1.41086585323469,-1.1244550903266
25,583,0,-1.4108470547912,-1.12388106900536
26,583,0,-1.41082825634772,-1.12330704768412
0,582,0,-1.36826522068415,-1.15386612482086
1,582,0,-1.36676771041108,-1.15429116350911
2,582,0,-1.36527020013801,-1.15471620219736
3,582,0,-1.36377268986495,-1.1551412408856
4,582,0,-1.36227517959188,-1.15556627957385
5,582,0,-1.36077766931882,-1.1559913182621
6,582,0,-1.35928015904575,-1.15641635695034
7,582,0,-1.36170619215825,-1.15485111343349
8,582,0,-1.36660954788619,-1.1520292070909
9,582,0,-1.37151290361413,-1.14920730074831
10,582,0,-1.37641625934208,-1.14638539440572
11,582,0,-1.38131961507002,-1.14356348806313
12,582,0,-1.38622297079796,-1.14074158172054
13,582,0,-1.39112632652591,-1.13791967537795
14,582,0,-1.39602968225385,-1.13509776903536
15,582,0,-1.40093303798179,-1.13227586269277
16,582,0,-1.40583639370974,-1.12945395635018
17,582,0,-1.40767891667391,-1.1280109827299
18,582,0,-1.40722301210488,-1.12760347141024
19,582,0,-1.40676710753585,-1.12719596009058
20,582,0,-1.40631120296682,-1.12678844877092
21,582,0,-1.40585529839778,-1.12638093745126
22,582,0,-1.40539939382875,-1.1259734261316
23,582,0,-1.40494348925972,-1.12556591481194
24,582,0,-1.40448758469069,-1.12515840349228
25,582,0,-1.40403168012165,-1.12475089217262
26,582,0,-1.40357577555262,-1.12434338085296
0,581,0,-1.36053222208059,-1.15518369036336
1,581,0,-1.35896287498812,-1.15566423238547
2,581,0,-1.35739352789566,-1.15614477440758
3,581,0,-1.3558241808032,-1.15662531642968
4,581,0,-1.35425483371073,-1.15710585845179
5,581,0,-1.35268548661827,-1.1575864004739
6,581,0,-1.3511161395258,-1.15806694249601
7,581,0,-1.35382708254825,-1.15638709272284
8,581,0,-1.35924059782754,-1.1533431730448
9,581,0,-1.36465411310682,-1.15029925336677
10,581,0,-1.37006762838612,-1.14725533368874
11,581,0,-1.3754811436654,-1.14421141401071
12,581,0,-1.38089465894469,-1.14116749433268
13,581,0,-1.38630817422398,-1.13812357465464
14,581,0,-1.39172168950327,-1.13507965497661
15,581,0,-1.39713520478255,-1.13203573529858
16,581,0,-1.40254872006185,-1.12899181562055
17,581,0,-1.40436039100876,-1.1275487258845
18,581,0,-1.40346738031418,-1.12730772456642
19,581,0,-1.4025743696196,-1.12706672324835
20,581,0,-1.40168135892501,-1.12682572193027
21,581,0,-1.40078834823043,-1.12658472061219
22,581,0,-1.39989533753585,-1.12634371929411
23,581,0,-1.39900232684126,-1.12610271797603
24,581,0,-1.39810931614668,-1.12586171665795
25,581,0,-1.3972163054521,-1.12562071533987
26,581,0,-1.39632329475752,-1.1253797140218
0,580,0,-1.35279922347704,-1.15650125590586
1,580,0,-1.35115803956518,-1.15703730126183
2,580,0,-1.34951685565331,-1.1575733466178
3,580,0,-1.34787567174145,-1.15810939197377
4,580,0,-1.34623448782958,-1.15864543732973
5,580,0,-1.34459330391772,-1.1591814826857
6,580,0,-1.34295212000586,-1.15971752804167
7,580,0,-1.34594797293826,-1.15792307201218
8,580,0,-1.35187164776889,-1.15465713899871
