"x","y","year","env1","env2"
0,583,0,-2.11731624084024,-1.15254855927836
1,583,0,-2.11589056738657,-1.15291809463275
2,583,0,-2.1144648939329,-1.15328762998714
3,583,0,-2.11303922047924,-1.15365716534152
4,583,0,-2.11161354702557,-1.15402670069591
5,583,0,-2.1101878735719,-1.1543962360503
6,583,0,-2.10876220011824,-1.15476577140468
7,583,0,-2.11090332332079,-1.15331513414415
8,583,0,-2.11529651949738,-1.150715241137
9,583,0,-2.11968971567398,-1.14811534812985
10,583,0,-2.12408291185058,-1.1455154551227
11,583,0,-2.12847610802718,-1.14291556211556
12,583,0,-2.13286930420377,-1.14031566910841
13,583,0,-2.13726250038037,-1.13771577610126
14,583,0,-2.14165569655697,-1.13511588309411
15,583,0,-2.14604889273356,-1.13251599008696
16,583,0,-2.15044208891017,-1.12991609707981
17,583,0,-2.1523154638916,-1.12847323957529
18,583,0,-2.15229666544812,-1.12789921825405
19,583,0,-2.15227786700464,-1.12732519693281
20,583,0,-2.15225906856116,-1.12675117561157
21,583,0,-2.15224027011767,-1.12617715429033
22,583,0,-2.15222147167419,-1.12560313296908
23,583,0,-2.15220267323071,-1.12502911164784
24,583,0,-2.15218387478723,-1.1244550903266
25,583,0,-2.15216507634375,-1.12388106900536
26,583,0,-2.15214627790026,-1.12330704768412
0,582,0,-2.10958324223669,-1.15386612482086
1,582,0,-2.10808573196362,-1.15429116350911
2,582,0,-2.10658822169055,-1.15471620219736
3,582,0,-2.10509071141749,-1.1551412408856
4,582,0,-2.10359320114442,-1.15556627957385
5,582,0,-2.10209569087136,-1.1559913182621
6,582,0,-2.10059818059829,-1.15641635695034
7,582,0,-2.10302421371079,-1.15485111343349
8,582,0,-2.10792756943873,-1.1520292070909
9,582,0,-2.11283092516667,-1.14920730074831
10,582,0,-2.11773428089462,-1.14638539440572
11,582,0,-2.12263763662256,-1.14356348806313
12,582,0,-2.1275409923505,-1.14074158172054
13,582,0,-2.13244434807845,-1.13791967537795
14,582,0,-2.13734770380639,-1.13509776903536
15,582,0,-2.14225105953433,-1.13227586269277
16,582,0,-2.14715441526228,-1.12945395635018
17,582,0,-2.14899693822646,-1.1280109827299
18,582,0,-2.14854103365742,-1.12760347141024
19,582,0,-2.14808512908839,-1.12719596009058
20,582,0,-2.14762922451936,-1.12678844877092
21,582,0,-2.14717331995033,-1.12638093745126
22,582,0,-2.14671741538129,-1.1259734261316
23,582,0,-2.14626151081226,-1.12556591481194
24,582,0,-2.14580560624323,-1.12515840349228
